Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,57.950001,58.209999,57.480000,57.630001,49.992760,7216000
2018-01-03,57.930000,58.959999,57.799999,58.709999,50.929634,7478400
2018-01-04,58.990002,59.410000,58.730000,58.930000,51.120476,5775900
2018-01-05,59.250000,59.689999,59.070000,59.610001,51.710354,6047700
2018-01-08,59.480000,59.669998,58.560001,59.310001,51.450119,6335800
2018-01-09,59.200001,59.470001,58.860001,59.180000,51.337341,5233400
2018-01-10,60.000000,60.130001,58.860001,59.820000,51.892532,8656500
2018-01-11,59.520000,60.020000,59.450001,60.000000,52.048683,5806300
2018-01-12,60.400002,60.509998,59.650002,60.400002,52.395657,6989100
2018-01-16,60.330002,61.099998,60.299999,60.560001,52.534466,8040700
2018-01-17,61.000000,61.330002,60.520000,60.660000,52.621208,8433800
2018-01-18,61.430000,61.439999,60.740002,61.090000,52.994236,9170900
2018-01-19,61.209999,61.459999,60.950001,61.259998,53.141701,8361900
2018-01-22,61.040001,61.470001,60.770000,61.410000,53.271820,11945800
2018-01-23,61.320000,61.910000,61.139999,61.689999,53.514713,10806800
2018-01-24,61.509998,61.939999,60.230000,60.830002,52.768681,11911900
2018-01-25,61.029999,61.200001,60.400002,60.549999,52.525799,16225600
2018-01-26,57.939999,58.169998,56.549999,57.990002,50.305038,51851700
2018-01-29,57.549999,58.349998,56.910000,57.020000,49.463600,18899900
2018-01-30,56.959999,57.540001,56.740002,57.189999,49.611069,14341200
2018-01-31,57.230000,57.450001,56.700001,56.810001,49.281414,13118400
2018-02-01,56.279999,56.419998,55.889999,56.000000,48.578770,14690100
2018-02-02,55.900002,56.320000,55.700001,55.770000,48.379242,15358900
2018-02-05,55.529999,56.259998,54.570000,54.689999,47.442368,16060000
2018-02-06,53.689999,56.060001,53.560001,55.610001,48.240440,17415100
2018-02-07,55.080002,55.430000,54.439999,54.459999,47.499088,13927000
2018-02-08,54.500000,54.790001,53.750000,53.770000,46.897285,17736700
2018-02-09,54.200001,55.060001,53.650002,54.580002,47.603756,19382000
2018-02-12,54.860001,55.730000,54.549999,55.380001,48.301495,10969000
2018-02-13,55.250000,55.720001,55.020000,55.669998,48.554432,10416400
