Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02 00:00:00,52.417000,53.347000,52.261501,53.250000,53.189472,24752000
2018-01-03 00:00:00,53.215500,54.314499,53.160500,54.124001,54.062481,28604000
2018-01-04 00:00:00,54.400002,54.678501,54.200100,54.320000,54.258255,20092000
2018-01-05 00:00:00,54.700001,55.212502,54.599998,55.111500,55.048855,25582000
2018-01-08 00:00:00,55.111500,55.563499,55.081001,55.347000,55.284088,20952000
2018-01-09 00:00:00,55.470001,55.528500,55.061550,55.313000,55.250126,18050000
2018-01-10 00:00:00,54.855000,55.230000,54.805500,55.130501,55.067837,20856000
2018-01-11 00:00:00,55.314999,55.326248,54.979500,55.276001,55.213169,19566000
2018-01-12 00:00:00,55.120499,56.214500,55.057499,56.112999,56.049217,34410000
2018-01-16 00:00:00,56.625500,56.995499,55.891602,56.088001,56.024250,31506000
2018-01-17 00:00:00,56.311001,56.630001,55.850498,56.598999,56.534664,24052000
2018-01-18 00:00:00,56.570499,56.625500,55.875000,56.489498,56.425289,23964000
2018-01-19 00:00:00,56.591499,56.893002,56.415001,56.875500,56.810852,35564000
2018-01-22 00:00:00,56.874500,57.993999,56.755501,57.790501,57.724812,32360000
2018-01-23 00:00:00,57.992500,58.581348,57.937500,58.498501,58.432007,26662000
2018-01-24 00:00:00,58.866501,58.993000,58.052502,58.212002,58.145836,28332000
2018-01-25 00:00:00,58.626499,58.797001,58.138000,58.518501,58.451984,29610000
2018-01-26 00:00:00,58.754002,58.792000,57.905499,58.792000,58.725174,40376000
2018-01-29 00:00:00,58.824001,59.344501,58.598999,58.778999,58.712189,27578000
2018-01-30 00:00:00,58.391499,58.826000,58.175999,58.184502,58.118366,31126000
2018-01-31 00:00:00,58.528500,58.650002,57.956501,58.497002,58.430511,30774000
2018-02-01 00:00:00,58.130501,58.700001,57.875999,58.384998,58.318634,48242000
2018-02-02 00:00:00,56.099998,56.153500,55.363899,55.595001,55.531807,97158000
2018-02-05 00:00:00,54.529999,55.500000,52.601501,52.790001,52.729996,75966000
2018-02-06 00:00:00,51.359001,54.085499,51.156849,54.029999,53.968586,68960000
2018-02-07 00:00:00,54.077000,54.089001,52.412998,52.429001,52.369408,47384000
2018-02-08 00:00:00,52.770500,52.931000,50.033001,50.076000,50.019081,57182000
2018-02-09 00:00:00,50.862499,52.198502,49.627998,51.889000,51.830021,70118000
2018-02-12 00:00:00,52.400002,53.075001,52.046398,52.597000,52.537216,41154000
2018-02-13 00:00:00,52.250000,52.918499,52.204350,52.605000,52.545204,25302000
2018-02-14 00:00:00,52.447498,53.585999,52.337502,53.485001,53.424206,31116000
2018-02-15 00:00:00,53.953499,54.573952,53.216999,54.476002,54.414082,36868000
2018-02-16 00:00:00,54.420502,55.233501,54.415649,54.740002,54.677780,33590000
2018-02-20 00:00:00,54.528500,55.697498,54.425999,55.123001,55.060345,28462000
2018-02-21 00:00:00,55.323502,56.698502,55.316502,55.567001,55.503841,30258000
2018-02-22 00:00:00,55.809502,56.140999,55.129501,55.331501,55.268608,26344000
2018-02-23 00:00:00,55.632000,56.363998,55.235699,56.339500,56.275463,25220000
2018-02-26 00:00:00,56.389999,57.198002,56.334751,57.187500,57.122498,31182000
2018-02-27 00:00:00,57.062000,57.202000,55.900002,55.914501,55.850945,35482000
2018-02-28 00:00:00,56.151501,56.376499,55.161999,55.236500,55.173714,37652000
2018-03-01 00:00:00,55.393501,55.506001,53.350052,53.476002,53.415218,50318000
2018-03-02 00:00:00,52.653999,54.099949,52.405750,53.945999,53.884682,45432000
2018-03-05 00:00:00,53.757000,54.855000,53.450001,54.546501,54.484501,24044000
2018-03-06 00:00:00,54.960999,55.092499,54.488750,54.752998,54.690762,30656000
2018-03-07 00:00:00,54.459499,55.611000,54.274101,55.481998,55.418934,25850000
2018-03-08 00:00:00,55.765999,56.380001,55.639999,56.299999,56.236004,27102000
2018-03-09 00:00:00,56.799999,58.040001,56.623051,58.001999,57.936069,42560000
2018-03-12 00:00:00,58.192501,58.852501,57.870998,58.224998,58.158817,43446000
2018-03-13 00:00:00,58.500000,58.838001,56.666500,56.908501,56.843815,38144000
2018-03-14 00:00:00,57.260502,57.929501,57.071999,57.474499,57.409168,25828000
2018-03-15 00:00:00,57.498001,58.054001,56.727001,57.479000,57.413666,27908000
2018-03-16 00:00:00,57.707001,57.793999,56.598000,56.786499,56.721951,61840000
2018-03-19 00:00:00,56.000500,56.099499,54.450500,54.991001,54.928493,56118000
2018-03-20 00:00:00,54.950001,55.259998,54.173000,54.885502,54.823116,36638000
2018-03-21 00:00:00,54.637001,55.314999,54.257500,54.543999,54.482002,37578000
2018-03-22 00:00:00,54.094002,54.145000,52.295502,52.453999,52.394375,53340000
2018-03-23 00:00:00,52.351501,53.167999,51.061001,51.078499,51.020439,43134000
2018-03-26 00:00:00,52.299999,52.781502,50.419998,52.660500,52.600643,53302000
2018-03-27 00:00:00,53.150002,53.241951,49.846001,50.255001,50.197880,61906000
2018-03-28 00:00:00,49.900002,51.211498,49.032001,50.228001,50.170910,67386000
