,Weight
BAC,0.03230837305735962
PEP,0.11897880181081717
COST,0.0
KHC,0.0
SBUX,0.014571822971368591
AMZN,0.012083817780804442
INTC,0.0
MMM,0.0
KO,0.0
NVDA,0.0
XOM,0.0
JPM,0.0
TSLA,0.6744294294831117
META,0.03017111217429095
GOOG,0.0
AVGO,0.07008301452888112
O,0.0
AAPL,0.0
WMT,0.047373628193366324
JNJ,0.0
